51 41
3900 -200 -1.18367
3900 -100 0.28458
3900 0 1.75476
3900 100 3.22495
3900 200 4.69321
3900 300 6.15763
3900 400 7.61634
3900 500 9.06748
3900 600 10.50929
3900 700 11.94005
3900 800 13.35813
3900 900 14.76199
3900 1000 16.15019
3900 1100 17.52140
3900 1200 18.87439
3900 1300 20.20804
3900 1400 21.52137
3900 1500 22.81350
3900 1600 24.08364
3900 1700 25.33116
3900 1800 26.55550
3900 1900 27.75621
3900 2000 28.93297
3900 2100 30.08552
3900 2200 31.21371
3900 2300 32.31744
3900 2400 33.39673
3900 2500 34.45163
3900 2600 35.48229
3900 2700 36.48888
3900 2800 37.47165
3900 2900 38.43087
3900 3000 39.36687
4000 -1000 -12.25038
4000 -900 -10.89314
4000 -800 -9.52131
4000 -700 -8.13624
4000 -600 -6.73937
4000 -500 -5.33223
4000 -400 -3.91641
4000 -300 -2.49357
4000 -200 -1.06542
4000 -100 0.36630
4000 0 1.79981
4000 100 3.23333
4000 200 4.66506
4000 300 6.09324
4000 400 7.51611
4000 500 8.93197
4000 600 10.33916
4000 700 11.73609
4000 800 13.12123
4000 900 14.49313
4000 1000 15.85045
4000 1100 17.19193
4000 1200 18.51639
4000 1300 19.82278
4000 1400 21.11015
4000 1500 22.37763
4000 1600 23.62448
4000 1700 24.85006
4000 1800 26.05381
4000 1900 27.23529
4000 2000 28.39413
4000 2100 29.53007
4000 2200 30.64291
4000 2300 31.73254
4000 2400 32.79892
4000 2500 33.84208
4000 2600 34.86211
4000 2700 35.85914
